datetime,steps,distance_m,calories,speed,date,day_of_week
2023-01-08 09:46:00.671,4.5555553,133.69,oKa26H1Zgm,2368.42,2023-01-08,Sunday
2023-01-08 09:46:00.671,6.944445,185.96999,oKa26H1Zgm,3311.77,2023-01-08,Sunday
2023-01-08 09:46:00.672,5.237438,185.34998,oKa26H1Zgm,3325.1301,2023-01-08,Sunday
2023-01-08 09:46:00.672,3.7222228,170.48,oKa26H1Zgm,2991.81,2023-01-08,Sunday
2023-01-08 09:46:00.672,4.047982,193.22,oKa26H1Zgm,3405.76,2023-01-08,Sunday
2023-01-08 09:46:00.673,3.3055556,138.61998,oKa26H1Zgm,2453.37,2023-01-08,Sunday
2023-01-08 09:46:00.674,3.3055556,118.42,oKa26H1Zgm,2044.34,2023-01-08,Sunday
2023-01-08 09:46:00.674,3.166667,142.95,oKa26H1Zgm,2540.61,2023-01-08,Sunday
2023-01-08 09:46:00.675,5.1944447,231.62999,oKa26H1Zgm,4128.69,2023-01-08,Sunday
2023-01-08 09:46:00.675,3.0277777,91.46999,oKa26H1Zgm,1632.35,2023-01-08,Sunday
2023-01-08 09:46:00.676,2.7862825,157.62999,oKa26H1Zgm,2752.9,2023-01-08,Sunday
2023-01-08 09:46:00.676,3.166667,181.80998,oKa26H1Zgm,3125.9702,2023-01-08,Sunday
2023-01-08 09:46:00.677,3.0893042,398.5798,oKa26H1Zgm,7089.0225,2023-01-08,Sunday
2023-01-08 09:46:00.677,2.9722228,85.45,oKa26H1Zgm,1510.0599,2023-01-08,Sunday
2023-01-08 09:46:00.678,3.5,362.7699,oKa26H1Zgm,6524.8813,2023-01-08,Sunday
2023-01-08 09:46:00.678,6.9444447,88.94,oKa26H1Zgm,1513.3099,2023-01-08,Sunday
2023-01-08 09:46:00.678,2.0833333,55.929993,oKa26H1Zgm,921.99,2023-01-08,Sunday
2023-01-08 09:46:00.679,3.75,333.08997,oKa26H1Zgm,5615.318,2023-01-08,Sunday
2023-01-08 09:46:00.679,4.7130637,264.67993,oKa26H1Zgm,4801.24,2023-01-08,Sunday
2023-01-08 09:46:00.680,5.1478124,105.56,oKa26H1Zgm,1770.6199,2023-01-08,Sunday
2023-01-08 09:46:00.680,5.5792747,358.74,oKa26H1Zgm,5931.48,2023-01-08,Sunday
2023-01-08 09:46:00.681,4.0277777,90.119995,oKa26H1Zgm,1531.57,2023-01-08,Sunday
2023-01-08 09:46:00.681,4.4444447,227.08998,oKa26H1Zgm,3945.0999,2023-01-08,Sunday
2023-01-08 09:46:00.682,2.8259296,171.25,oKa26H1Zgm,2853.4,2023-01-08,Sunday
2023-01-08 09:46:00.682,3.25,69.21,oKa26H1Zgm,1208.9199,2023-01-08,Sunday
2023-01-08 09:46:00.683,4.842864,128.07999,oKa26H1Zgm,2241.07,2023-01-08,Sunday
2023-01-08 09:46:00.684,6.9444447,184.59999,oKa26H1Zgm,3229.84,2023-01-08,Sunday
2023-01-08 09:46:00.685,3.4552262,88.74,oKa26H1Zgm,1564.61,2023-01-08,Sunday
2023-01-08 09:46:00.685,6.7334976,67.42,oKa26H1Zgm,1166.34,2023-01-08,Sunday
2023-01-08 09:46:00.686,3.8055558,73.66,oKa26H1Zgm,1336.01,2023-01-08,Sunday
2023-01-08 09:46:00.686,6.0993447,81.38,oKa26H1Zgm,1452.74,2023-01-08,Sunday
2023-01-08 09:46:00.686,3.1944444,96.49,oKa26H1Zgm,1716.46,2023-01-08,Sunday
2023-01-08 09:46:00.687,3.5,206.38994,oKa26H1Zgm,3393.9404,2023-01-08,Sunday
